20104C03iuedug                        uygd                          0000012011000000822721dee                      0011
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012Calve
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012Improved dairy
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012Improve beef
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012Oxen
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012Indegenous Cattle
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012
20104C03iuedug                        uygd                          0000012011000000822721dee                      001
20104C03iuedug                        uygd                          0000012011000000822721dee                      001
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012
20104C03iuedug                        uygd                          0000012011000000822721dee                      001
20104C03iuedug                        uygd                          0000012011000000822721dee                      001
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012
20104C03iuedug                        uygd                          0000012011000000822721dee                      0011Improved Pigs            1   99   777  3  3106666.000006600006000066.00
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012Indegenous Pigs
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012Horses
20104C03iuedug                        uygd                          0000012011000000822721dee                      0012Donkeys
20104C03iuedug                        uygd                          0000012011000000822721dee                      001
30104C03iuedug                        uygd                          0000012011000000822721dee                      001
70104C03iuedug                        uygd                          0000012011000000822721dee                      001
80104C03iuedug                        uygd                          0000012011000000822721dee                      001
50104C03iuedug                        uygd                          0000012011000000822721dee                      001
90104C03iuedug                        uygd                          0000012011000000822721dee                      001
10104C03iuedug                        uygd                          0000012011000000822721dee                      001
60104C03iuedug                        uygd                          0000012011000000822721dee                      001
40909C049j9ij                         ki                            0000999091000000009992B B                      005 1B B                                               22
20909C049j9ij                         ki                            0000999091000000009992B B                      005
30909C049j9ij                         ki                            0000999091000000009992B B                      005
70909C049j9ij                         ki                            0000999091000000009992B B                      005
80909C049j9ij                         ki                            0000999091000000009992B B                      005
50909C049j9ij                         ki                            0000999091000000009992B B                      005
90909C049j9ij                         ki                            0000999091000000009992B B                      005
10909C049j9ij                         ki                            0000999091000000009992B B                      005IFBH                           2 1
60909C049j9ij                         ki                            0000999091000000009992B B                      005124092019 9022019 70920117                                                   24/09/2019
